"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
180,2023,1,1,"diumenge",19,"El Molino","41.37485","2.166773","87.6","60.1","70.5",4
181,2023,1,1,"diumenge",20,"Sagrada Familia","41.404484","2.174691","91.4","46.5","61.5",4
182,2023,1,1,"diumenge",20,"Torre Agbar","41.402124","2.184799","80.8","53.4","63.8",4
183,2023,1,1,"diumenge",20,"Mercat del Born","41.387076","2.180426","91.7","39.7","61.4",5
184,2023,1,1,"diumenge",20,"El Molino","41.37485","2.166773","87.6","60.1","71.9",5
185,2023,1,1,"diumenge",20,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","61.5",4
186,2023,1,1,"diumenge",20,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","55.8",4
187,2023,1,1,"diumenge",20,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","54.4",4
188,2023,1,1,"diumenge",20,"Plaça de Joanic",41406,"2.162636","90.8","53.1","66.5",4
189,2023,1,1,"diumenge",20,"Rambla","41.378242","2.175112","88.1","50.2",68,5
190,2023,1,1,"diumenge",21,"Torre Agbar","41.402124","2.184799","80.8","53.4",61,3
191,2023,1,1,"diumenge",21,"Sagrada Familia","41.404484","2.174691","91.4","46.5","59.7",3
192,2023,1,1,"diumenge",21,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","53.3",4
193,2023,1,1,"diumenge",21,"Plaça de Joanic",41406,"2.162636","90.8","53.1","64.6",4
194,2023,1,1,"diumenge",21,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","55.1",4
195,2023,1,1,"diumenge",21,"Mercat del Born","41.387076","2.180426","91.7","39.7","63.9",5
196,2023,1,1,"diumenge",21,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","59.3",3
197,2023,1,1,"diumenge",21,"El Molino","41.37485","2.166773","87.6","60.1","70.8",4
198,2023,1,1,"diumenge",21,"Rambla","41.378242","2.175112","88.1","50.2","64.2",4
199,2023,1,1,"diumenge",22,"El Molino","41.37485","2.166773","87.6","60.1","69.5",4
200,2023,1,1,"diumenge",22,"Torre Agbar","41.402124","2.184799","80.8","53.4","59.1",3
201,2023,1,1,"diumenge",22,"Sagrada Familia","41.404484","2.174691","91.4","46.5","58.2",3
202,2023,1,1,"diumenge",22,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","56.5",4
203,2023,1,1,"diumenge",22,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8",61,5
204,2023,1,1,"diumenge",22,"Plaça de Joanic",41406,"2.162636","90.8","53.1","61.1",3
205,2023,1,1,"diumenge",22,"Rambla","41.378242","2.175112","88.1","50.2","60.8",3
206,2023,1,1,"diumenge",22,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","60.6",4
207,2023,1,1,"diumenge",22,"Mercat del Born","41.387076","2.180426","91.7","39.7","63.3",5
208,2023,1,1,"diumenge",23,"El Molino","41.37485","2.166773","87.6","60.1","71.2",5
209,2023,1,1,"diumenge",23,"Mercat del Born","41.387076","2.180426","91.7","39.7","63.4",5
210,2023,1,1,"diumenge",23,"Plaça de Joanic",41406,"2.162636","90.8","53.1","58.9",2
211,2023,1,1,"diumenge",23,"Rambla","41.378242","2.175112","88.1","50.2","65.6",5
212,2023,1,1,"diumenge",23,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","64.2",5
213,2023,1,1,"diumenge",23,"Torre Agbar","41.402124","2.184799","80.8","53.4","59.8",3
214,2023,1,1,"diumenge",23,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","61.6",5
