Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
101150,109,773,dilluns,1899-12-30 05:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3251.5999999999995
101150,86,773,dilluns,1899-12-30 05:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2488.9000000000005
103173,106,793,dilluns,1899-12-30 05:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2703.2
95081,98,719,dilluns,1899-12-30 05:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2764.000000000001
101150,150,773,dilluns,1899-12-30 06:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3338.7
101150,111,773,dilluns,1899-12-30 06:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2630.7
103173,130,793,dilluns,1899-12-30 06:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2842.1
95081,112,719,dilluns,1899-12-30 06:00:00,47,"41,406",Plaça de Joanic,7306,"2,162636",4267.600000000003,291,2495.699999999998,2838.9
101150,128,773,dilluns,1899-12-30 07:00:00,50,"41,37485",Sant Maria del Mar,497,"2,166773",4379.999999999998,321,3004.9999999999973,3287.1
101150,127,773,dilluns,1899-12-30 07:00:00,50,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4784.999999999995,321,2185.000000000001,2723.7000000000003
103173,149,793,dilluns,1899-12-30 07:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,324,2371.5,2894.3000000000006
